Name,Age,Investment_Amount,Tenure,Risk_Tolerance,Investment_Type,Return_Amount,Return_Percentage
Elizabeth Brown,29,830263,19,Low,FD,109638131251.12,86.0
Gary Pacheco,22,129668,11,High,Stocks,53540260100.72,223.99
Jenna Gaines,28,763595,10,Moderate,Stocks,1354746527.52,111.3
Richard Avila,44,552492,27,Moderate,Gold,2863253971700864.0,128.98
Thomas Shaw,22,201013,12,High,FD,33242228649.57,172.19
John Lara,23,308362,20,High,Stocks,150509686549901.34,171.91
Jeremy Barber,49,111524,17,High,Stocks,9403181019742.59,192.57
Diana Torres,35,791818,15,Low,Equity,7550396488.83,84.2
Peter Stephens,53,741394,7,Low,Equity,44013382.48,79.21
Mr. William Hartman II,36,758765,28,High,Gold,5.012510935741722e+19,211.58
James Lee,45,430363,15,High,Equity,1242081121373.1,169.58
Edward Reyes,31,268144,13,High,Stocks,1851762160000.07,235.81
Alexandra Gray,60,748744,28,Moderate,FD,5058910313655250.0,124.42
Miguel Ball,30,556921,20,Moderate,Gold,18637851733459.87,137.81
Mr. Donald Hughes,62,580673,23,Low,Equity,1717979634482.27,91.14
Melissa Kelley,57,764935,7,Low,Equity,21337274.08,60.88
Jeffrey Clements,19,310691,23,Moderate,Gold,159281450568630.84,139.16
Gabrielle Miller,27,670550,6,Low,Stocks,10007714.36,56.91
Olivia Wolf,53,610122,20,High,Stocks,1.1878944437693112e+16,226.94
James Warner,37,934326,4,Moderate,Equity,1773678.31,17.38
Anna Cross,31,991666,9,High,Equity,111518203.59,69.0
Samuel Gray,42,552407,25,Moderate,Equity,1587975371872051.0,138.97
Dustin Mendez,46,465809,11,High,FD,58049966123.53,190.56
Diane Pruitt,20,479416,18,Low,Gold,48797392317.48,89.76
Steven Graham,36,953562,1,Moderate,Equity,1351292.71,41.71
John Johnson,42,488998,23,Moderate,FD,232772599427528.44,138.39
Debbie Evans,46,384834,3,Low,FD,969314.78,36.06
Lisa Henry,37,678696,7,Moderate,FD,112598979.28,107.55
Tommy Wright,39,583347,21,Low,FD,488753356708.42,91.45
Joshua Oliver,45,131149,26,Moderate,Equity,158301819231274.56,123.51
Benjamin Parrish,65,320602,4,Moderate,Stocks,1335766.07,42.87
Jeffrey Sanders,65,118402,6,Moderate,Equity,1752964.08,56.7
Shannon Garcia,43,709142,3,Moderate,Equity,2550818.64,53.22
Jenna Wilson,54,578094,13,High,FD,2279340234495.23,221.64
Wayne Flores,39,453668,20,High,Equity,1.4171288209254364e+16,234.76
Todd Hoffman,49,627258,3,High,FD,2856836.75,65.76
Linda Valdez,48,441249,16,Low,FD,17645963393.01,93.92
Tammy Cruz,32,692569,7,High,Stocks,65625543.05,91.59
Jody Keller,58,494898,10,Moderate,Equity,86135532.33,67.52
Pamela Roberts,30,48897,13,Moderate,Equity,1605414949.34,122.54
Anthony Koch,39,259939,1,High,Stocks,412835.12,58.82
Cody Wyatt,47,889556,15,High,Stocks,1922357552847.31,164.43
Gina Rodriguez,36,952889,14,Low,Equity,19645572015.66,103.31
Bryan Williams,59,397637,30,Moderate,Stocks,5.937320237545923e+16,135.76
Cathy Powell,42,152552,16,Moderate,Stocks,194302611842.25,140.75
Brandon Turner,50,994810,30,Low,Gold,785350449049833.2,97.96
Gregory Morales,42,483560,11,High,Stocks,12302357333.73,151.48
Teresa Hill,47,393779,2,High,Equity,1259593.59,78.85
Jacob Smith,19,994263,13,Moderate,FD,125442818053.62,146.82
Cynthia Garcia,40,662651,11,Low,Gold,1942727958.67,106.63
Amanda Hill,39,100590,6,Moderate,Gold,6258335.0,99.06
Shelby Hogan,57,314951,16,High,FD,2285714927706.48,168.41
Jeanette Bradshaw,19,600408,2,High,Equity,1034138.99,31.24
Christopher Harrington,35,40353,23,Moderate,Gold,15671793490535.24,136.29
Shelly Brown,33,459236,8,Low,FD,30027186.79,68.63
Justin Carter,64,604969,28,Low,Stocks,9199592169277.1,80.51
Bryan Carter,37,908287,22,High,Gold,3039781334801938.5,170.98
Vincent Russell,58,684580,3,Low,Gold,1420579.67,27.55
Matthew Dawson,38,451177,11,High,FD,59100977719.1,191.88
Wendy Rose,34,136217,2,Low,Stocks,244554.74,33.99
Corey Ford,54,100853,24,Moderate,FD,136680015368705.34,140.16
Victoria Murray,55,925510,2,High,Gold,2058311.74,49.13
Andrew Ruiz,43,817540,7,Low,Stocks,41506412.43,75.25
Heather Harvey,40,978442,21,Moderate,Gold,19306120529578.07,122.53
Luis Shaw,39,752986,30,Low,Gold,275077537099030.1,92.94
Tina Kirk,64,773685,6,High,Gold,54996464.65,103.53
Nicole Gordon,27,823819,15,Low,FD,47266759673.27,107.61
Daniel Baker,44,777510,21,Low,Equity,3437250235358.14,107.23
Pamela Guerra,59,983477,29,Low,Stocks,68607436911274.73,86.41
Stacey George,33,614031,13,High,Gold,1101314327313.19,202.73
John Robinson,37,516593,26,High,FD,2.620137508480789e+16,158.07
Scott Gray,27,253884,10,Moderate,FD,17975082.69,53.11
Miguel Duncan,34,924269,7,Moderate,Equity,213231684.62,117.56
Michael Scott,39,140576,12,Moderate,FD,3951228868.18,134.82
Phyllis Allison,54,874713,14,High,Stocks,763239435524.57,165.67
George Long PhD,39,630799,12,High,Stocks,302348800109.15,197.43
Debbie Yoder,30,319372,24,Moderate,Stocks,65296518401904.18,121.96
Angel Torres,53,542781,19,Moderate,FD,3268655011005.7,127.42
Bryan Marks,25,313037,1,Low,Equity,387320.68,23.73
Gloria Foster,29,648855,22,High,FD,370783710442479.3,150.06
Michele Martin,26,579161,15,High,Equity,30957790554375.77,227.49
David Wade,53,232521,5,High,FD,750532.22,26.41
Donald Hunt,22,361984,25,Low,Gold,919176557198.53,80.38
John Wilson,45,899920,30,High,FD,7.483776219650726e+20,214.29
Morgan Beard DDS,48,965633,19,High,Equity,46789977520621.31,153.8
Robert Neal,56,174827,23,High,Equity,5207745122236302.0,185.36
James Rivera,42,203032,21,High,FD,1012358190223567.8,189.6
Steven Orozco,38,83867,27,Moderate,FD,189336354971296.88,122.04
Victor Neal,39,247268,23,High,Equity,7692960266377224.0,185.9
James Cherry,42,502065,3,Moderate,Gold,1842977.05,54.26
Jeremy Mason,41,697997,16,Moderate,Stocks,551443336226.06,133.67
Bridget Decker,34,324798,19,Moderate,Equity,6480422816388.07,142.22
Danny Stevens,24,461260,16,Moderate,Equity,510314184902.53,138.64
Kirk Dominguez,44,425016,21,Low,Gold,520385846359.73,94.94
Samantha Juarez,39,146657,8,High,Stocks,9399771.22,68.21
Stephanie Holland,30,986960,18,Moderate,Equity,10494361337232.68,145.68
Daniel Rogers,21,292965,19,Low,Stocks,67301156450.17,91.5
Heather Perkins,59,184890,9,Low,FD,4824810.9,43.68
Megan Newman,57,302199,9,Low,Gold,9187872.29,46.14
Cathy Williams,33,980060,18,Low,Equity,119461299768.75,91.67
Chris Rush,23,972877,25,Moderate,FD,3331996884023455.0,140.65
Nicole Anderson,49,897746,29,Moderate,FD,3.500736199960421e+16,131.85
Shawn Morris,62,860310,1,High,Gold,1102917.42,28.2
Karen Thomas,25,272463,13,High,Equity,2167165357166.0,239.48
Elizabeth Jimenez,39,826708,15,Moderate,FD,679654734150.15,147.93
Scott Watkins,59,109765,15,Moderate,FD,21472457785.21,125.3
Lori Moss,63,66833,7,High,Stocks,2300908.12,65.79
Taylor Brown,33,662394,26,Moderate,Equity,778416083062310.6,123.28
John Knight,32,42694,11,High,FD,6087820162.77,194.14
Kimberly Brown,44,671559,28,Low,FD,138185768173357.62,98.11
Peter Phillips,58,243776,7,High,FD,65069627.32,122.14
Andrew Hernandez,29,29584,22,High,Stocks,52292010148366.31,163.23
Barry Valentine,45,161518,9,Moderate,FD,8516748.87,55.36
Thomas Frost,33,339204,5,High,Gold,1582241.93,36.07
Rebekah Martinez,40,381170,23,Low,Stocks,379500271743.93,82.3
Debra Lopez,23,49519,19,Moderate,Stocks,220216979988.74,123.82
Brandi Jackson,62,897979,17,Low,Gold,224077121623.14,107.72
Michelle Griffin,28,959109,13,Low,Gold,5895611812.73,95.63
Kimberly Hatfield,57,839361,2,Low,Gold,1204654.26,19.8
Troy Richardson,58,455406,9,Moderate,Equity,103899172.73,82.82
Laurie Davis,18,454483,8,Moderate,Gold,89212702.65,93.47
John Mills,22,818664,28,Low,Gold,692613674124585.9,108.37
George Howard,34,925130,16,High,Equity,11172140968576.45,177.09
David Green,63,252919,28,Low,FD,69917017454289.61,100.21
Stacy Walker,38,22548,3,Low,Gold,48538.75,29.12
Jacqueline Cordova,33,881855,14,High,Equity,20837715420296.15,236.26
Lawrence Brown,53,653069,12,High,FD,105317370562.3,171.62
Tina Turner,22,194434,5,High,Equity,1101388.35,41.46
Sydney Bullock,37,143811,6,Moderate,Equity,2144685.84,56.89
Kimberly Anderson,41,172350,18,Moderate,Stocks,2396663064207.4,149.37
Dawn Larsen,20,753466,4,Low,Gold,2540674.57,35.51
David Jones,39,931962,26,Low,FD,90354235943200.97,102.85
Jeffrey Diaz II,20,668788,4,High,Stocks,3413814.91,50.31
Rachel Mills,29,694466,17,Moderate,Equity,2123495021479.83,140.71
Crystal Lewis,32,592411,6,Low,Stocks,10495733.69,61.46
Jeremiah Lynch,49,805250,26,Moderate,FD,3723743631381363.5,135.36
Laura Baxter,25,416724,21,Moderate,Equity,35682605666046.62,138.64
Rachel Owen,34,724667,25,Moderate,Gold,2513030756030475.5,140.77
Jorge Lee,34,788390,25,High,FD,9.685858067183334e+16,177.7
Sharon Salinas,19,174668,8,Low,Gold,6918873.94,58.39
Brian Cruz,32,450490,29,Low,FD,120455154461596.02,95.25
Rebecca Hicks,53,771205,18,Low,Stocks,299106522013.57,104.4
Breanna Simmons,58,653994,7,Low,FD,11941454.29,51.43
Tonya Stein,33,128637,7,Moderate,Gold,21312731.61,107.51
Julie Hansen,60,84617,25,Low,Equity,210735203889.0,80.24
James Haynes,29,498442,15,High,Stocks,14325902603836.81,214.22
Linda Benton,23,966994,3,Low,Stocks,2254521.35,32.6
Leslie Gilbert,36,269321,28,High,Gold,4.7949673395751485e+19,222.81
David Walker,57,432729,23,Moderate,Stocks,42986536270982.71,122.69
Donald Mckenzie,40,769833,29,Moderate,Equity,6.034500514872155e+16,137.5
Regina Williams,25,336695,23,High,FD,4969753884874031.0,176.78
Joshua Beck,49,923527,22,Moderate,Equity,65478711813076.88,127.43
Victor Miller,49,23566,11,High,FD,2441366209.69,185.72
Monica Morris,47,165677,29,High,FD,6.603009648461744e+18,194.43
Mackenzie Patrick,58,725470,15,High,Gold,1519555578026.97,163.88
Darren Gomez,41,367188,16,High,FD,12505457291892.6,195.64
Melinda Mcdonald,56,275383,8,Low,Equity,23524045.44,74.36
Adrienne Cole,56,861783,9,Moderate,Equity,71087763.01,63.28
Dorothy Leblanc,54,329271,29,Low,Equity,18430351000835.76,85.0
Jasmine Stevens,44,775252,23,Moderate,Stocks,206957874004216.62,132.47
Antonio Lopez,36,493006,28,Low,FD,60096523866230.14,94.44
Holly Green,35,280341,18,High,Stocks,38959017852589.23,183.39
Jean Medina,57,722062,28,Moderate,Stocks,4.7648397447411896e+16,143.45
William Bonilla,26,476981,8,Moderate,Gold,190833885.82,111.48
Anthony Baker,35,38043,11,High,Equity,8620410573.72,206.79
Jodi Melton,65,271949,7,Low,Equity,3084167.39,41.47
Blake Levy,24,110393,17,High,Equity,865591048494.71,154.42
Lisa Boone,49,262741,17,High,Stocks,59901588259624.81,210.2
Lisa Brock,46,319239,3,High,FD,1822671.1,78.73
William Richardson,60,486208,26,Low,Gold,7768762236174.19,89.26
Christopher Griffin,51,164855,14,High,Gold,110605363834.14,160.73
Jamie Shea,65,656716,27,Moderate,Stocks,6618070534337073.0,134.69
Mark Davis,35,953924,21,Moderate,Equity,32191293339370.16,128.29
Allison Gill,20,980370,23,High,Equity,3.175988125522975e+17,216.56
Steven Hoffman,44,635670,7,High,Gold,90708961.59,103.13
Bonnie Vincent,63,737564,5,Moderate,Gold,7026590.77,56.96
Craig Edwards,18,442167,19,Low,Equity,140258501758.28,94.78
Aaron Madden,23,358915,9,Low,Gold,37189881.27,67.47
Nathan Evans,64,431769,17,Low,Equity,22203521973.57,89.29
Todd Jackson,36,59434,28,High,FD,8.175849744827224e+18,219.85
Kimberly Taylor,46,625502,11,Low,Stocks,2005715535.66,108.32
Peter Mcintyre,39,738602,9,High,Equity,955656278.39,121.7
Gail Butler,21,189734,7,High,Stocks,37926478.63,113.15
Margaret Meza,21,215485,11,High,Equity,14517961115.9,174.76
Joshua Taylor,46,275718,3,High,Equity,1415739.89,72.52
Brianna Miranda,23,585045,23,Moderate,Equity,73611087402183.38,124.99
Mark Wright,26,580796,13,Moderate,Gold,27693506641.32,129.02
Kathryn Johnson,37,348243,15,High,FD,3844099171894.45,194.8
Grace Sanchez,18,855986,27,Low,FD,183286129352675.7,103.49
James Miller,36,994252,21,Low,Equity,5047738629490.12,108.6
David Hill,35,354622,8,Low,FD,7487409.74,46.41
Matthew Carter,32,55652,24,Low,Equity,91978656909.6,81.59
Frederick Olson,57,52230,26,High,Gold,1.4690090069214406e+17,201.17
Donald Jackson,51,687087,6,High,Equity,13096699.21,63.44
Brady Garcia,42,416267,5,Low,Equity,730661.9,11.91
Karen Estes,25,540687,19,Moderate,FD,5463380688265.41,133.7
Scott Taylor,35,229096,14,Moderate,FD,61687811097.5,144.27
Sandra Monroe,57,879464,16,Low,FD,64801379263.57,101.47
Aaron Gibbs,43,44741,22,Low,FD,47543904942.34,87.9
Matthew Huynh,46,756174,22,High,FD,3.613608646796576e+17,239.53
Miranda Adams,51,590611,9,High,Stocks,131920029.99,82.39
Stacey Brown,47,570770,2,Low,Stocks,685618.06,9.6
Jodi Bradshaw,44,344455,23,Moderate,Stocks,65065172726660.37,129.0
Samuel Bell,30,963880,5,Moderate,Equity,3437938.4,28.96
Vincent Taylor,32,762489,26,High,Gold,1.923501546322226e+16,151.23
John Powell,20,475856,11,Low,Equity,1617720055.43,109.43
Thomas Morton,61,304825,26,Low,Equity,6713098588746.34,91.61
Derrick Whitney,42,717650,18,High,Gold,343399315740521.0,203.54
Elizabeth Jones,35,422348,7,High,Stocks,28521789.17,82.54
Patricia Jones,37,393608,30,High,Gold,1.1998538473184964e+20,203.95
Katie Payne,40,562604,25,Moderate,Equity,4255911645040065.0,148.4
William Young,40,417087,19,Low,FD,431337536189.88,107.28
Christopher Norris,44,403841,5,High,Gold,2192978.6,40.27
Joe Pruitt,35,630647,10,High,Stocks,3453674587.45,136.51
Heidi Garner,47,331669,14,High,FD,207821595111.84,159.46
Mr. Stephen Eaton,45,985116,16,Moderate,Stocks,740782662397.31,132.95
Crystal Cox,29,380363,7,Moderate,Stocks,56194658.61,104.14
Janet Villarreal,24,522692,11,Low,Gold,1467604942.31,105.82
Taylor Green,58,567114,12,Low,FD,2037868613.51,97.83
Daniel Henderson,39,528521,26,Moderate,Stocks,7675024090351557.0,145.95
Jennifer Ruiz DDS,45,393085,3,Low,Equity,870601.83,30.35
Ryan Atkins,53,360023,30,High,Gold,2.654049894666943e+20,213.03
Joanna Wood,63,865744,9,High,Stocks,2458085694.48,141.93
Kristi Stephens,65,506193,2,High,FD,1044254.74,43.63
Steven Wilcox,60,249101,12,Low,FD,320030678.4,81.58
Ronald Dyer,29,731997,1,Moderate,Equity,883373.98,20.68
Sarah Mullen,26,723647,3,Low,Stocks,1712482.7,33.26
Julie Evans,18,478848,14,Moderate,Gold,126665523813.12,143.96
Jeffrey Petersen,41,277956,29,Low,FD,185599815752973.47,101.51
Colleen Ramsey,56,20240,9,Low,Stocks,1203634.13,57.45
James Thomas,28,174417,24,Low,Stocks,4138773246419.9,102.91
Angela Cole,34,128163,2,High,Gold,361382.83,67.92
Raymond White,42,231634,13,High,Equity,247440442197.63,190.9
Gregory Kelly,19,481882,14,Moderate,Stocks,165196002316.31,148.52
Dr. Stephanie Morris,24,470482,13,High,Gold,283288500706.25,178.35
Ana Powell,38,556390,17,Low,FD,140093941818.65,107.83
Joanna Saunders,53,741517,24,Moderate,Equity,494612692750899.5,133.17
Monica Gonzalez,45,299743,2,Low,Gold,346519.41,7.52
Samantha Carrillo,65,176069,4,Low,Stocks,493956.24,29.42
John White,46,480489,20,Low,Equity,200819342735.65,91.01
Mark Tran,26,254760,16,High,Equity,29723251083206.02,219.29
Shane Anderson,49,850111,14,Low,Stocks,12739831716.09,98.73
Peter Bradley,24,798335,11,Low,FD,2596650474.89,108.59
Stephen White,18,703009,17,High,Stocks,334505196497470.6,223.92
Gary Garcia,44,491540,2,High,Stocks,1207125.12,56.71
Kevin Martinez,61,493961,1,Low,Stocks,571463.48,15.69
Jeremy Fisher,37,107005,12,Low,Stocks,198822709.44,87.25
Joseph Pitts,62,471864,15,Moderate,Equity,193426284559.6,136.69
Carol Lynch,46,751859,17,Moderate,Gold,860504209104.22,127.19
Jennifer Robertson,54,110859,12,Moderate,Stocks,3144744049.31,135.0
Alexis Roberts,65,402923,20,Moderate,Stocks,12928342393371.74,137.31
Samantha Solis,28,716511,14,Low,Stocks,4472928470.38,86.68
Erik Joseph,28,542981,10,Moderate,FD,1251353904.82,116.9
Brianna Reed,35,415324,15,High,Equity,5637126797412.83,198.89
Emily Moss,61,183749,14,Low,Stocks,3607257612.43,102.6
Gregory Lee,24,498146,4,High,Stocks,3573771.94,63.66
Michael Baker,63,443951,6,Moderate,FD,40958766.94,112.57
Michelle Price,30,38121,27,High,Gold,3.171691278645943e+17,200.97
Phillip Ochoa,38,228679,11,Moderate,Equity,4266761722.6,144.49
Rebecca Garcia,57,230303,10,Low,FD,22900837.64,58.4
James Snyder,62,537713,13,Low,Stocks,1578654504.4,84.82
Andrew Warner,34,95150,23,Low,FD,210513358032.37,88.74
Scott Lowe,30,670700,16,High,Stocks,1771680690781.53,151.98
Eric Stephens,41,516066,16,Low,Gold,7842129080.81,82.54
Andrew Walker,23,87601,26,High,Equity,4.18141721356163e+16,181.31
Michael Martinez,34,239383,11,Moderate,FD,2559185525.2,132.42
Joshua Young,29,696910,10,High,FD,247863453.15,79.93
Gerald Hanson,44,86043,3,High,Stocks,189735.31,30.16
Holly Collins,23,364571,9,High,FD,49562047.77,72.6
Shane Rhodes,35,720570,7,Moderate,Equity,167095385.42,117.72
John Phillips,37,227205,14,High,Equity,689904820854.37,190.42
Brianna Rosales,51,557409,22,Low,Gold,2254529753558.29,99.67
Shannon Davis,22,174671,10,Moderate,FD,10337378.07,50.39
Renee King,41,871123,14,High,Gold,1644837655439.52,180.73
Michael Moore,45,828428,29,Moderate,Equity,1.955060063531724e+17,146.7
Jeffrey Singh,43,161309,29,Low,Stocks,44497697312006.48,95.46
Bradley Sims,30,583880,7,High,Gold,18935048.95,64.38
David Diaz,23,723464,22,Moderate,Equity,272332649115460.75,145.36
Sharon Garrett,41,116193,13,Moderate,Gold,11509998736.54,142.27
Jeffrey Scott,30,939622,12,Low,Equity,3619647635.51,98.98
Mallory Campbell,63,620219,19,Moderate,Gold,2301935950685.89,121.7
Morgan Hall,61,343232,2,High,Stocks,708960.74,43.72
Russell Moore,45,669761,15,High,FD,10424083141991.26,201.63
Elizabeth Bailey,51,748070,3,Low,Stocks,1663693.24,30.53
Natasha Griffin,51,199944,22,Low,Gold,942048575069.86,101.06
Gregory Schwartz,39,360570,6,Moderate,Gold,4238623.46,50.79
Logan Wright,46,525383,28,Moderate,Stocks,2.875814972629082e+16,141.83
Julie Shelton,45,250956,9,High,Gold,682878758.81,140.79
Benjamin Hoffman,42,161792,10,High,FD,190856591.71,102.85
Katie Mcdonald,32,617689,5,High,Stocks,3171821.41,38.71
Stephanie Andrews,59,489886,14,Moderate,FD,41027891188.83,124.72
Michelle Johnson,35,28489,18,High,Equity,26140589162089.5,214.72
Kristina Stewart,35,150457,28,Low,Stocks,91529637830478.42,105.93
Mr. Timothy Ramsey DDS,35,653799,16,Moderate,Gold,701811762291.5,138.19
Logan Davidson,47,389259,30,High,Equity,9.392282308783002e+20,225.65
David Davis,43,182045,3,High,Gold,430317.73,33.21
Amber Mccormick,63,634124,13,Low,Gold,2351414512.61,88.17
Jessica Jones,18,773781,17,Low,Gold,20639442838.42,82.12
Mark Morris,33,825635,16,High,Stocks,3393574577024.38,159.04
Lawrence Miller,59,602445,15,Moderate,Gold,109582722126.01,124.21
Daniel Brown,45,348659,26,Low,Gold,2414219516085.47,83.27
Michelle Hansen,49,313895,5,Low,FD,1051427.05,27.35
Matthew Villanueva,61,983895,11,Moderate,Stocks,10588488272.65,132.56
Jasmine Mcintosh,27,229211,23,High,Gold,1763576782476493.5,169.05
Timothy Shah,62,657419,14,Moderate,FD,106795836376.43,135.61
William Wagner,48,577831,27,Moderate,FD,1.637251343973444e+16,143.85
James Dixon,60,726795,28,High,Gold,6.924404279205638e+18,190.76
Dr. Robert Guzman,42,451576,10,High,Gold,1787052580.56,128.95
Benjamin Tanner,39,231176,10,Moderate,Stocks,185194592.31,95.15
Shannon Cameron,44,605098,2,Low,Equity,1058000.11,32.23
John Cox,56,675840,20,High,FD,5912289177387780.0,214.12
Rodney Thomas,19,300487,23,Low,FD,609607142600.19,88.03
Mary Smith,57,913136,11,High,Equity,247357963542.22,211.81
Victoria Schmidt,58,119883,23,High,Equity,1.2901642811544352e+16,201.75
Jeanette Roberts,40,402580,12,High,Stocks,48327684914.69,165.02
Alex Rice,36,519167,16,Moderate,Equity,294876227827.45,128.9
Hannah Williams,46,891724,12,Low,Equity,1606630032.43,86.77
Carrie Walker,42,568424,29,High,Stocks,2.9613030424355374e+18,174.48
Linda Jacobs,60,858473,5,Low,Gold,1945738.13,17.78
Christopher Ward,42,968340,13,Low,Equity,8832523245.06,101.66
Kimberly Edwards,34,423156,7,Low,Gold,5486019.23,44.2
William Johnson,42,709999,15,High,FD,38038458363789.59,227.54
Aaron Flores,63,542015,2,Moderate,FD,1069342.02,40.46
Laurie Perez,63,763704,5,Low,Gold,1132560.39,8.2
Benjamin Clark,37,451108,1,Moderate,Gold,644949.11,42.97
Robert Boyd,62,454015,12,Low,Gold,1784100320.82,99.31
Brian Weber,23,65113,30,Low,Gold,196805319481373.66,107.02
Elizabeth Robinson,44,775268,25,Low,FD,42313586654505.07,103.93
Bailey Benson,41,872770,26,Low,Stocks,166702071984455.6,108.21
Ian Moses,50,945865,18,High,Equity,87133022758523.69,176.99
Samantha Obrien,62,203757,27,Low,Stocks,6022597180846.18,89.1
Jennifer Walter,21,157670,9,High,Equity,13193651.5,63.54
Christopher Morris,39,735497,19,Low,FD,152657860402.73,90.48
Charles Guerra,18,570283,30,Moderate,Stocks,7.278510826502686e+16,134.53
Richard Bailey,65,680341,18,Low,FD,28964492921.6,80.79
Tamara Anderson,44,479650,18,High,Equity,463589301095811.1,215.63
Joseph Cook,56,145807,19,High,Stocks,1137501449451265.2,231.62
Adam Taylor,44,705089,6,Moderate,Equity,11453021.12,59.14
Ronald Arellano,63,743958,24,High,Stocks,3446461619631097.0,152.78
Dustin Marquez,33,25417,28,Moderate,Gold,124547934960773.5,121.86
Anne Williams,30,102649,30,High,FD,4.45283224546326e+20,232.08
Melanie Torres,22,181892,5,High,Equity,1011544.36,40.94
Taylor Wilkerson,24,492363,6,Low,Stocks,4240309.52,43.17
Tracy Harris,63,368960,19,High,Gold,561974203455876.8,204.3
Lawrence Baker,19,145671,24,Moderate,FD,89936716111227.02,132.42
Deanna Miller,64,78654,19,Moderate,Equity,766806822655.9,133.26
Scott Gray,63,202718,19,Moderate,Equity,3339508851725.12,139.79
Elizabeth Warren,29,633592,10,High,Equity,362492086.35,88.69
Alexis Thomas,48,877021,25,Low,FD,6417215110441.22,88.18
Kenneth Herrera,50,629990,13,Low,Gold,1345375647.63,80.35
Luis Ramirez,48,974906,20,High,Gold,1638438316096580.5,189.25
Kristen Holmes,61,242784,17,Low,Stocks,26686442511.96,97.94
Derek Sims,36,357555,20,High,FD,2225621090846433.8,208.82
Elizabeth Schneider,44,766485,7,High,FD,184478696.15,118.88
Kari Ramsey,60,511236,20,Low,Gold,478156572520.97,98.86
Jerry Sanchez,55,239462,27,High,FD,2.526628923946633e+19,230.66
Heather Mitchell,25,898512,9,Low,FD,61088497.73,59.81
Christopher Jenkins,30,466762,7,Low,FD,16391168.89,66.26
Juan Clark,37,945084,5,Moderate,FD,9585978.58,58.94
Derek Johnson,43,885426,9,High,FD,2930879525.73,146.09
Jamie Forbes,34,725354,23,Low,Gold,2627639846975.88,92.83
Marc Floyd,37,835284,27,Moderate,Equity,1.1794019528073076e+16,137.64
Troy Berry,49,915961,30,High,Equity,1.4583378758439143e+20,197.44
Donna Wilson,27,533492,28,High,Stocks,4.043423078907999e+20,239.95
Kristin Williams,52,811226,11,Moderate,FD,8788243419.02,132.7
Tara Santos,61,524884,25,Low,Stocks,30643209217975.39,104.48
Jose Morales,54,282954,17,Moderate,Gold,956185320896.21,142.13
Kenneth Freeman Jr.,47,567898,25,High,Equity,6.873839268991878e+18,233.67
Heather Chavez,43,671357,25,Low,Gold,38013858621093.44,104.23
Lauren Larsen,23,350261,3,Moderate,Gold,1242961.26,52.53
James Moreno,54,231093,23,Moderate,Equity,73883834746092.88,134.3
Megan Bush,33,665882,14,High,Stocks,551725110766.21,164.69
Nina Gonzalez,38,826207,14,Moderate,FD,135577105363.59,135.78
Crystal Wright,42,260466,27,High,FD,1.1034886429243118e+18,193.54
Scott Nguyen,19,61893,10,Moderate,Gold,25117976.83,82.32
Denise Hale,39,798122,26,Low,Stocks,123179244529590.83,106.51
Brian Reed,28,799170,26,Moderate,Gold,1.3464971879524854e+16,147.36
Ariel Anderson,41,887482,12,Low,FD,5856996224.04,108.11
Christopher Cox,49,624799,11,High,FD,23951624967.5,161.03
Carrie King,47,163369,20,Moderate,Stocks,1500204066612.5,122.92
Adam Brown,59,407502,1,High,Stocks,595727.17,46.19
Casey Hopkins,39,351345,11,High,Gold,28124964234.03,179.1
John Benton,23,526078,30,Moderate,Stocks,1.8608961293361544e+16,124.71
Ryan Cardenas,20,792582,20,Moderate,Stocks,31439564032303.22,139.84
Wesley Brandt,30,26594,27,High,Equity,1.3708851358170912e+16,171.51
Timothy Davis,58,826175,25,Moderate,FD,6069861302841485.0,148.11
Dustin Johnson,32,66503,2,High,Stocks,207900.19,76.81
Ashley Chase,29,597012,29,Low,FD,588933573088966.4,104.24
Rose Bell,18,500919,5,High,Stocks,2245305.77,34.99
Allen Lester,26,804082,14,High,Stocks,2739748187934.71,192.82
Jessica Perez,57,702893,16,High,Gold,107937762360811.08,224.82
Amanda Robinson,44,146802,24,Moderate,Equity,25202596635924.23,120.35
Zachary Hammond,36,952449,9,High,Equity,334250109.95,91.78
Mariah Ferguson,39,172683,11,High,Gold,93523232472.51,232.08
Mr. Perry Jackson,46,845900,25,High,Equity,1.729604650640678e+18,210.76
Tiffany Ortega,31,520451,18,Low,FD,179315867089.59,103.06
Becky Middleton DDS,21,619997,14,Low,Stocks,17285079050.4,107.74
Robert Jenkins,41,646656,1,Moderate,Stocks,1092783.97,68.99
Gary Roberts,54,88929,23,Moderate,Equity,8511360243387.46,122.33
Michael Lawson,41,196349,16,High,Equity,15271954612392.98,211.3
Shane Willis,52,349060,23,Moderate,FD,326957549158539.1,145.51
Maureen Murphy,49,656684,23,Moderate,FD,168831815678171.78,132.09
Alan Reyes,20,535831,15,High,Gold,36786743002912.91,233.0
Melissa Nichols,33,49034,14,Low,Gold,1109828764.4,104.67
Meghan Torres,59,67856,27,High,Equity,5.500234861436667e+16,176.1
Eric Schultz,32,160267,15,Low,Gold,2682409835.92,91.24
Phillip Marshall,46,657614,25,Low,Equity,1943973387327.99,81.48
Connie Nash,54,894459,17,Low,Stocks,20807242968.72,80.66
Deborah Baker,29,616679,15,Moderate,Stocks,203339503622.45,133.28
